fdc_id,name,data_type,protein,fat,carbs,kcal,alcohol,caffeine,fiber,sodium,sugar_added,cholesterol,fat_trans,fat_sat,fat_mono,fat_poly,sugar,density
172701,"Cake, gingerbread, dry mix",sr_legacy_food,4.4,13.8,74.6,437.0,0.0,0.0,1.7,657.0,,0.0,,3.46,7.791,1.804,46.62,
172702,"Cake, gingerbread, prepared from recipe",sr_legacy_food,3.9,16.4,49.2,356.0,,,,327.0,,32.0,,4.122,7.124,4.216,,
172703,"Cake, pineapple upside-down, prepared from recipe",sr_legacy_food,3.5,12.1,50.5,319.0,0.0,,0.8,319.0,,22.0,,2.915,5.194,3.282,,
172704,"Cake, pound, commercially prepared, butter (includes fresh and frozen)",sr_legacy_food,5.0,13.96,53.64,353.0,0.0,0.0,0.6,377.0,,66.0,0.192,4.811,3.02,3.419,33.36,
172705,"Cake, white, dry mix, special dietary (includes lemon-flavored)",sr_legacy_food,3.0,8.4,79.6,397.0,,,,260.0,,0.0,,1.251,3.48,3.183,,
172706,"Cake, sponge, commercially prepared",sr_legacy_food,5.4,2.7,61.0,290.0,0.0,0.0,0.5,623.0,,102.0,,0.802,0.949,0.448,36.66,
172707,"Cake, sponge, prepared from recipe",sr_legacy_food,7.3,4.3,57.7,297.0,,,,228.0,,170.0,,1.301,1.576,0.649,,
172708,"Cake, pudding-type, white, enriched, dry mix",sr_legacy_food,3.9,9.5,80.9,423.0,0.0,0.0,0.7,665.0,,0.0,,2.39,4.093,1.244,48.95,
172709,"Cake, white, prepared from recipe without frosting",sr_legacy_food,5.4,12.4,57.2,357.0,0.0,0.0,0.8,327.0,,2.0,,3.269,5.309,3.148,35.49,
172710,"Cake, yellow, prepared from recipe without frosting",sr_legacy_food,5.3,14.6,53.0,361.0,0.0,,0.7,343.0,,54.0,,3.924,6.229,3.57,,
172711,"Cake, cheesecake, commercially prepared",sr_legacy_food,5.5,22.5,25.5,321.0,0.0,0.0,0.4,438.0,,55.0,,9.921,8.634,1.602,21.8,
172712,"Cake, cheesecake, prepared from mix, no-bake type",sr_legacy_food,5.5,12.7,35.5,274.0,,,1.9,380.0,,29.0,,6.691,4.519,0.808,,
172713,"Cookies, brownies, commercially prepared",sr_legacy_food,4.8,16.3,63.9,405.0,0.0,2.0,2.1,286.0,,17.0,,4.235,8.965,2.259,36.61,
172714,"Cookies, chocolate wafers",sr_legacy_food,6.6,14.2,72.7,433.0,0.0,10.0,3.4,580.0,,2.0,,4.241,4.865,4.153,37.43,0.4733963178258021
172715,"Cookies, chocolate chip, commercially prepared, regular, lower fat",sr_legacy_food,5.97,17.91,67.49,451.0,0.0,13.0,3.0,418.0,,0.0,0.0,5.962,5.422,5.641,32.84,
172716,"Cookies, chocolate chip, commercially prepared, regular, higher fat, enriched",sr_legacy_food,5.1,24.72,65.36,492.0,0.0,11.0,2.0,311.0,,0.0,0.684,8.091,6.272,8.417,32.9,
172717,"Cookies, chocolate chip, commercially prepared, soft-type",sr_legacy_food,3.63,19.77,65.75,444.0,,,1.8,276.0,,,0.055,9.751,6.973,1.786,37.1,
172718,"Cookies, chocolate sandwich, with creme filling, regular",sr_legacy_food,5.21,19.14,71.0,464.0,0.0,5.0,2.9,388.0,,0.0,0.112,5.649,9.278,3.561,40.67,
172719,"Cookies, chocolate sandwich, with creme filling, regular, chocolate-coated",sr_legacy_food,3.6,26.4,66.4,481.0,0.0,4.0,5.2,326.0,,0.0,,7.426,14.584,3.001,49.58,
172720,"Cookies, chocolate sandwich, with extra creme filling",sr_legacy_food,4.33,24.52,68.2,497.0,0.0,6.0,2.7,351.0,,0.0,,5.454,16.076,2.471,46.0,
172721,"Cookies, fig bars",sr_legacy_food,3.7,7.3,70.9,348.0,0.0,0.0,4.6,350.0,,0.0,,1.123,3.003,2.772,46.36,
172722,"Cookies, fortune",sr_legacy_food,4.2,2.7,84.0,378.0,0.0,0.0,1.6,31.0,,2.0,,0.669,1.345,0.466,45.42,
172723,"Cookies, marshmallow, chocolate-coated (includes marshmallow pies)",sr_legacy_food,4.0,16.9,67.7,421.0,0.0,5.0,2.0,188.0,,0.0,,4.722,9.345,1.943,44.8,
172724,"Cookies, molasses",sr_legacy_food,5.6,12.8,73.8,430.0,0.0,0.0,1.0,459.0,,0.0,,3.212,7.13,1.729,17.6,
172725,"Cookies, oatmeal, commercially prepared, regular",sr_legacy_food,6.2,18.1,68.7,450.0,0.0,0.0,2.8,520.0,,0.0,,4.519,10.025,2.543,24.66,
172726,"Cookies, oatmeal, commercially prepared, soft-type",sr_legacy_food,6.1,14.7,65.7,409.0,,,2.7,349.0,,5.0,,3.63,7.988,2.204,,
172727,"Cookies, peanut butter, commercially prepared, regular",sr_legacy_food,8.92,23.82,58.15,473.0,0.0,0.0,2.1,463.0,,27.0,1.25,6.751,10.8,3.61,28.58,
172728,"Cookies, peanut butter, commercially prepared, soft-type",sr_legacy_food,5.3,24.4,57.7,457.0,,,1.7,336.0,,0.0,,6.149,13.844,3.181,,
172729,"Cookies, peanut butter, refrigerated dough",sr_legacy_food,8.2,25.0,52.1,458.0,0.0,,1.1,397.0,,27.0,,5.791,13.124,4.787,,
172730,"Cookies, peanut butter, refrigerated dough, baked",sr_legacy_food,9.1,27.5,57.3,503.0,,,1.2,436.0,,30.0,,6.199,14.526,4.889,,
172731,"Cookies, brownies, dry mix, sugar free",sr_legacy_food,2.9,12.5,80.4,426.0,0.0,,4.2,83.0,,0.0,,2.018,5.233,4.577,,
172732,"Cookies, chocolate chip, commercially prepared, special dietary",sr_legacy_food,3.9,16.8,73.4,450.0,0.0,8.0,1.6,244.0,,0.0,,4.183,6.73,5.035,39.81,
172733,"Cookies, chocolate sandwich, with creme filling, special dietary",sr_legacy_food,4.5,22.1,68.0,461.0,0.0,4.0,4.1,342.0,,0.0,,3.992,9.207,7.919,19.73,
172734,"Cookies, oatmeal, commercially prepared, special dietary",sr_legacy_food,4.8,18.0,69.9,449.0,0.0,0.0,2.9,273.0,,0.0,,2.693,7.55,6.784,31.65,
172735,"Cookies, sugar, refrigerated dough, baked",sr_legacy_food,4.7,23.1,65.6,489.0,0.0,0.0,0.9,362.0,,32.0,,5.906,13.01,2.891,40.36,
172736,"Cookies, sugar wafers with creme filling, regular",sr_legacy_food,3.84,23.24,70.64,502.0,0.0,9.0,1.6,103.0,,0.0,,11.899,7.697,2.651,42.95,
172737,"Cookies, vanilla sandwich with creme filling",sr_legacy_food,4.5,20.0,72.1,483.0,0.0,0.0,1.5,388.0,,0.0,,2.979,8.437,7.551,39.3,
172738,"Puff pastry, frozen, ready-to-bake, baked",sr_legacy_food,7.4,38.5,45.7,558.0,0.0,0.0,1.5,253.0,,0.0,,5.502,8.828,22.228,0.75,
172739,"Crackers, crispbread, rye",sr_legacy_food,7.9,1.3,82.2,366.0,0.0,0.0,16.5,410.0,,0.0,,0.145,0.165,0.557,1.07,0.23247140607517067
172740,"Crackers, matzo, plain",sr_legacy_food,10.0,1.4,83.7,395.0,0.0,0.0,3.0,0.0,,0.0,,0.226,0.127,0.603,0.29,
172741,"Crackers, matzo, egg",sr_legacy_food,12.3,2.1,78.6,391.0,,,2.8,21.0,,83.0,,0.548,0.612,0.473,,
172742,"Crackers, matzo, whole-wheat",sr_legacy_food,13.1,1.5,78.9,351.0,0.0,,11.8,2.0,,0.0,,0.243,0.194,0.653,,
172743,"Crackers, rye, sandwich-type with cheese filling",sr_legacy_food,9.2,22.3,60.8,481.0,,,3.6,1044.0,,9.0,,5.987,12.236,2.863,,
172744,"Crackers, rye, wafers, plain",sr_legacy_food,9.6,0.9,80.4,334.0,0.0,0.0,22.9,557.0,,0.0,,0.108,0.152,0.397,1.01,0.2578319231015529
172745,"Crackers, rye, wafers, seasoned",sr_legacy_food,9.0,9.2,73.8,381.0,,,20.9,887.0,,0.0,,1.287,3.27,3.608,,
172746,"Crackers, saltines (includes oyster, soda, soup)",sr_legacy_food,9.46,8.64,74.05,418.0,0.0,0.0,2.8,941.0,,0.0,0.167,1.653,1.986,4.835,1.29,0.2430382881694966
172747,"Crackers, wheat, sandwich, with cheese filling",sr_legacy_food,9.8,25.0,58.2,497.0,,,3.1,839.0,,7.0,,4.129,10.351,9.166,,
172748,"Crackers, wheat, sandwich, with peanut butter filling",sr_legacy_food,13.5,26.7,53.8,495.0,,,4.4,807.0,,0.0,,4.602,11.766,8.862,,
172749,"Crackers, whole-wheat",sr_legacy_food,10.58,14.13,69.55,427.0,0.0,0.0,10.3,800.0,,0.0,0.199,2.063,3.248,6.945,1.19,0.39731476674665533
172750,"Cracker, meal",sr_legacy_food,9.3,1.7,80.9,383.0,0.0,0.0,2.6,16.0,,0.0,,0.271,0.152,0.722,0.33,0.4860765763389932
172751,"Croutons, plain",sr_legacy_food,11.9,6.6,73.5,407.0,,,5.1,698.0,,0.0,,1.51,3.059,1.273,,0.12680258513191128
172752,"Croutons, seasoned",sr_legacy_food,10.8,18.3,63.5,465.0,0.0,0.0,5.0,1333.0,,7.0,,5.247,9.498,2.368,4.41,0.16907011350921503
172753,"Danish pastry, cinnamon, enriched",sr_legacy_food,7.0,22.4,44.6,403.0,0.0,0.0,1.3,414.0,,21.0,,5.681,12.515,2.933,19.78,
172754,"Danish pastry, cheese",sr_legacy_food,8.0,21.9,37.2,374.0,0.0,0.0,1.0,417.0,,23.0,,6.794,11.313,2.575,6.95,
172755,"Danish pastry, fruit, enriched (includes apple, cinnamon, raisin, lemon, raspberry, strawberry)",sr_legacy_food,5.4,18.5,47.8,371.0,0.0,0.0,1.9,445.0,,114.0,,4.86,10.026,2.364,27.53,
172756,"Doughnuts, french crullers, glazed",sr_legacy_food,3.1,18.3,59.5,412.0,0.0,0.0,1.2,345.0,,11.0,,4.667,10.446,2.285,35.11,
172757,"Doughnuts, yeast-leavened, with creme filling",sr_legacy_food,6.4,24.5,30.0,361.0,0.0,0.0,0.8,309.0,,24.0,,5.43,12.08,3.082,14.55,
172758,"Doughnuts, yeast-leavened, glazed, enriched (includes honey buns)",sr_legacy_food,6.14,22.7,47.93,421.0,0.0,0.0,2.1,316.0,,30.0,0.455,9.453,7.248,3.588,22.75,
172759,"Doughnuts, yeast-leavened, with jelly filling",sr_legacy_food,5.9,18.7,39.0,340.0,0.0,0.0,0.9,455.0,,26.0,,4.843,10.226,2.377,21.1,
